,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,CMCC-ESM2,ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20210114/ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20210114/ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,True
1,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
2,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,True
3,CMCC-ESM2,ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20210114/ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20210114/ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
4,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
5,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,http://esgf-node2.cmcc.it/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
6,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
7,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210304/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_210001-234912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
8,CMCC-ESM2,ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210126/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Amon/ps/gn/v20210126/ps_Amon_CMCC-ESM2_piControl_r1i1p1f1_gn_185001-209912.nc,1,1,1,1,r1i1p1f1,piControl,ps,day,False
9,CMCC-ESM2,ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20210114/ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CMCC/CMCC-ESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20210114/ps_Amon_CMCC-ESM2_abrupt-4xCO2_r1i1p1f1_gn_185001-201412.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,day,False
